"","YEAR","STATE","COUNTY","ST_CASE","MONTH","DAY","HOUR","MINUTE","FATALS","HARM_EV","WEATHER","CF1","CF2","CF3","DRUNK_DR","RAIL","DATE.Y","DATE"
"76",1975,1,51,10076,2,14,22,55,1,12,1,0,0,0,0,"*******",1975-02-14,2014-02-14
"77",1975,1,15,10077,2,14,17,25,1,12,1,0,0,0,0,"*******",1975-02-14,2014-02-14
"78",1975,1,97,10078,2,11,20,28,1,8,2,0,0,0,0,"*******",1975-02-11,2014-02-11
"79",1975,1,119,10079,2,9,0,5,1,17,1,0,0,0,0,"*******",1975-02-09,2014-02-09
"80",1975,1,97,10080,2,8,11,50,1,5,1,0,0,0,0,"*******",1975-02-08,2014-02-08
"81",1975,1,71,10081,2,13,19,0,1,12,1,0,0,0,0,"*******",1975-02-13,2014-02-13
"82",1975,1,7,10082,2,13,14,40,1,1,1,0,0,0,0,"*******",1975-02-13,2014-02-13
"83",1975,1,55,10083,2,7,19,50,1,19,1,0,0,0,0,"*******",1975-02-07,2014-02-07
"84",1975,1,73,10084,2,14,20,15,1,12,1,0,0,0,0,"*******",1975-02-14,2014-02-14
"85",1975,1,133,10085,2,17,20,50,5,1,1,0,0,0,0,"*******",1975-02-17,2014-02-17
"86",1975,1,93,10086,2,18,10,30,1,12,1,3,0,0,0,"*******",1975-02-18,2014-02-18
"87",1975,1,73,10087,2,23,9,0,1,27,1,0,0,0,0,"*******",1975-02-23,2014-02-23
"88",1975,1,53,10088,2,21,3,30,1,27,1,0,0,0,0,"*******",1975-02-21,2014-02-21
"89",1975,1,121,10089,2,22,15,30,1,1,2,0,0,0,0,"*******",1975-02-22,2014-02-22
"90",1975,1,89,10090,2,21,23,14,1,27,1,0,0,0,0,"*******",1975-02-21,2014-02-21
"91",1975,1,79,10091,2,22,10,55,1,1,1,0,0,0,0,"*******",1975-02-22,2014-02-22
"92",1975,1,43,10092,2,20,23,15,1,24,1,0,0,0,0,"*******",1975-02-20,2014-02-20
"93",1975,1,43,10093,2,17,11,5,1,12,1,3,0,0,0,"*******",1975-02-17,2014-02-17
"94",1975,1,89,10094,2,15,16,0,1,12,1,0,0,0,0,"*******",1975-02-15,2014-02-15
"95",1975,1,51,10095,2,23,14,15,2,9,1,0,0,0,1,"*******",1975-02-23,2014-02-23
"96",1975,1,121,10096,2,23,21,0,1,8,2,1,0,0,0,"*******",1975-02-23,2014-02-23
"97",1975,1,109,10097,2,25,7,25,1,12,1,0,0,0,0,"*******",1975-02-25,2014-02-25
"98",1975,1,87,10098,2,21,17,55,1,12,1,0,0,0,0,"*******",1975-02-21,2014-02-21
"99",1975,1,73,10099,1,23,15,50,1,28,2,0,0,0,0,"*******",1975-01-23,2014-01-23
"100",1975,1,117,10100,1,11,17,50,1,8,1,0,0,0,0,"*******",1975-01-11,2014-01-11
"101",1975,1,97,10101,2,28,16,10,1,12,1,6,0,0,0,"*******",1975-02-28,2014-02-28
"102",1975,1,43,10102,2,15,15,20,1,14,1,0,0,0,0,"*******",1975-02-15,2014-02-15
"103",1975,1,125,10103,2,20,17,40,1,12,1,0,0,0,0,"*******",1975-02-20,2014-02-20
"104",1975,1,77,10104,2,21,17,17,1,8,1,0,0,0,0,"*******",1975-02-21,2014-02-21
"105",1975,1,73,10105,2,23,16,10,1,9,2,1,0,0,0,"*******",1975-02-23,2014-02-23
"106",1975,1,33,10106,2,17,20,30,1,8,1,0,0,0,0,"*******",1975-02-17,2014-02-17
"107",1975,1,23,10107,2,22,17,20,1,12,2,0,0,0,0,"*******",1975-02-22,2014-02-22
"108",1975,1,119,10108,2,23,20,15,1,1,1,0,0,0,0,"*******",1975-02-23,2014-02-23
"109",1975,1,3,10109,2,26,15,59,2,12,1,0,0,0,0,"*******",1975-02-26,2014-02-26
